type,activity,sex_,injury,fatal_(y/n),species_
Unprovoked,Scuba diving,M,Right hand & part of forearm removed,N,"Tiger shark, 1.5 m "
Unprovoked,Sea disaster,M,FATAL,Y,
Boating,Fishing,,"No injury, shark rammed boat & bit motor",N,"White shark, 3.5 m"
Unprovoked,Lobster fishing,M,"Bitten on thigh, abdomen & hand",N,Bull shark
Unprovoked,Swimming / Wading,F,Lacerations to both hands and forearms,N,
Unprovoked,Snorkeling,M,Lacerations to left calf,N,Galapagos shark
Unprovoked,Surfing,M,Right heel injured,N,
Unprovoked,Swimming,F,Leg injured,N,
Unprovoked,Surfing,M,Lacerations to hand,N,"Spinner shark, 7'"
Unprovoked,Surfing,M,Injury to left thigh,N,"Bull shark, 2.8 to 3.1 m"
Invalid,Surfing,F,Lower left leg injured,,Shark involvement not confirmed
Unprovoked,Swimming,M,Laceration to right ankle,N,
Unprovoked,Wading,F,Injury to right ankle/calf & hand,N,3' to 5' shark
Unprovoked,Fishing,M,"Arms severely injured, surgically amputated",N,
Unprovoked,Spearfishing,M,Minor injury,N,
Unprovoked,Body boarding,M,"Lacerations & puncture wounds to right thigh, calf & ankle",N,
Unprovoked,Surfing,M,"Lacerations to right calf, knee & hip",N,"White shark, 3 to 3.5m "
Unprovoked,Surfing,M,Lacerations to left hand,N,5' shark
Unprovoked,Surfing,M,Left foot bitten,N,"Spinner shark, 5'"
Unprovoked,Fishing for shrimp,F,FATAL,Y,
Invalid,Surfing,M,Left foot bitten by eel,,No shark involvement
Unprovoked,Swimming,M,Severe injuries to lower legs. Foot later surgically amputated.,N,"Tiger shark, 7'"
Boating,Kayak Fishing,M,"No injury, shark rammed kayak repeatedly",N,Hammerhead sp.
Unprovoked,Boogie boarding,F,Laceration to forearm,N,
Unprovoked,Surfing,M,"Left leg severed below the knee, defense injuries to left hand",N,"Tiger shark, 13' "
Unprovoked,Fishing,M,"Arm severely injured, surgically amputated",N,
Unprovoked,Surfing,M,Foot injured,N,
Unprovoked,Body boarding,M,2 lacerations to ankle,N,
Unprovoked,Wading,M,Foot & hands bitten,N,4' to 5' shark
Unprovoked,Surfing,M,Severe lacerations to left hand,N,"Blacktip shark, 4' to 5'"
Unprovoked,Surfing,M,"Laceration to heel, puncture wounds to dorsum of foot",N,"Blacktip shark, 5' to 6'"
Unprovoked,Snorkeling,F,Laceration to leg,N,
Boating,Kayak fishing,M,"No injury, kayak damaged",N,"White shark, 19'"
Unprovoked,Surfing,M,Minor injury to left ankle,N,juvenile shark
Unprovoked,Spearfishing,M,Severe laceration to left leg,N,"Tiger shark, 13'"
Unprovoked,Wading,M,Significant injuries to leg,N,4' shark
Unprovoked,Photographing fish,M,Injury to right hand / wrist,N,
Boating,Kayak Fishing,M,No injury,N,Hammerhead shark
Unprovoked,Swimming,M,Lacerations to calf,N,
Unprovoked,Surfing,M,Injury to right foot,N,
Unprovoked,Surfing,M,Minor laceration to hand,N,6' shark
Unprovoked,Stand-Up Paddleboarding,F,"No injury, shark struck board, tossing her into the sea",N,"White shark, 11' to 12'"
Provoked,Kayak Fishing,M,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,Hammerhead shark.
Unprovoked,Surf-skiing,M,Inuries to lower left leg & ankle,N,"White shark, 2.5 m"
Unprovoked,,M,Right foot bitten,N,4' shark?
Unprovoked,Wading,F,Left foot & ankle bitten,N,small shark
Unprovoked,Spearfishing,M,Leg bitten,N,Tiger shark
Unprovoked,Surfing,F,"No injury, surfboard bitten",N,"White shark, 11' to 12'"
Unprovoked,Surfing,M,"No injury, shark struk sufer's leg and his board",N,"White shark, 10' to 12' "
Invalid,,M,Wound to right lower leg,,Shark involvement not confirmed
Unprovoked,Surfing,M,Severe laceration to left buttock & thigh,N,
Unprovoked,Surfing,M,"Injuries to left calf, arm and hand",N,4' shark
Unprovoked,Walking,F,Lacerations to right leg,N,3' shark
Boating,Kayak Fishing,M,"No injury, kayak bitten",N,"White shark, 13'"
Invalid,Swimming,M,Minor injury when he attempted to touch a fish. ,,Shark involvement not confirmed
Provoked,Spearfishing,M,Right hand bitten  PROVOKED INCIDENT,N,Hammerhead shark. 6' to 7'
Unprovoked,Surfing,M,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,White shark
Unprovoked,Surfing,M,Minor inuries to toes,N,
,Surfing,M,Injury to hand,,
Unprovoked,Surfing,M,Minor injury to sole of foot,N,"Blacktip or spinner shark, 4'"
