type,activity,sex_,injury,fatal_(y/n),species_
Provoked,"Walking, carrying surfboard & stepped on shark",M,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,2' shark
Unprovoked,Surfing,M,Left foot bitten,N,1.5 m to 1.8 m [5' to 6'] shark
Unprovoked,Spearfishing,M,Left calf bitten,N,2.1 m  [7'] bull shark
Unprovoked,Spearfishing,M,Laceration to toe,N,8' great hammerhead shark
Unprovoked,Spearfishing,M,Leg bitten,N,
Unprovoked,Snorkeling,M,Chest & buttocks  bitten,N,Grey reef shark
Unprovoked,Surfing,M,Right foot & toes lacerated,N,Unidentified species
Unprovoked,Surfing,M,Ankle lacerated,N,106 cm [3.5']  shark
Unprovoked,,M,FATAL,Y,
Unprovoked,Standing,F,2 lacerations to the thigh,N,small brown shark
Unprovoked,Swimming with pod of dolphins,M,Right foot bitten,N,3.7 m to 4.3 m [12' to 14'] shark
Unprovoked,Swimming,M,Left leg bitten,N,Unidentified species
Unprovoked,Surfing ,M,Hand bitten ,N,"""sand shark"""
Unprovoked,Surfing,,6 puncture wounds to left ankle,N,
Invalid,Swimming,F,Foot lacerated,,Shark involvement not confirmed
Unprovoked,Surfing,M,Left foot lacerated,N,
Unprovoked,Wading,M,Left foot bitten,N,3' to 5' shark
Unprovoked,Swimming,M,Right calf & heel bitten,N,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark
Provoked,Surfing,M,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N,4' to 5' shark
Unprovoked,Walking,F,Laceration to right lower leg,N,
Unprovoked,,,Arm severed,N,White shark
Provoked,Killing  sharks,M,Shallow  lacerations to left  thigh PROVOKED INCIDENT,N,
Unprovoked,Swimming ,M,Bitten on finger,N,
Unprovoked,Surfing,M,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,Bull shark
Unprovoked,Swimming,M,Right hand lacerated,N,
Unprovoked,Surfing,M,Right leg bitten,N,Unidentified species
Unprovoked,Surfing,M,Survived,N,Unidentified species
Unprovoked,Surfing,M,Left foot bitten,N,Unidentified species
Unprovoked,Surfing,M,Small lacerations to foot,N,0.9 m to 1.2 m [3' to 4'] shark
Unprovoked,Surfing,M,Left ankle bitten or right foot,N,Unidentified species
Unprovoked,Jumping,M,Left foot bitten,N,A small shark
Unprovoked,Surfing,M,2 lacerations on left thigh,N,Unidentified species
Unprovoked,Swimming (using a float),M,Left calf lacerated,N,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee"
Unprovoked,Surfing,M,"Right foot bitten, left leg severed",N,"Mako shark, 3 m [10']"
Unprovoked,Surfing,M,Arm lacerated,N,
Unprovoked,Surfing,M,Left hand and wrist bitten,N,4' to 5' shark
Provoked,Petting captive sharks,F,Hand nipped PROVOKED INCIDENT,N,60 cm [2'] captive shark
Unprovoked,Scuba diving,M,Arm lacerated (shark made 3 strikes),N,2.5 m [8.25'] white shark
Unprovoked,Wading,M,Ankle lacerated,N,"""a small shark"""
Unprovoked,Swimming,M,Left hand bitten,N,Species unidentified
Unprovoked,Swimming,M,"Puncture wounds on heel, legs and buttocks",N,Thought to involve a 2 m [6.75'] grey nurse shark
Unprovoked,Swimming,M,FATAL,Y,Thought to involve a >2 m [6.75'] bull shark
Invalid,Unknown,M,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,,Shark involvement prior to death was not confirmed
Unprovoked,Surfing,M,Lower right leg lacerated,N,"Bull shark, 7'"
Unprovoked,Surfing,F,"No injury, but her surfboard was bitten",N,"Bronze whaler shark, 2.5 m [8.25'] "
Unprovoked,Snorkeling,F,Left arm lacerated,N,Reported to involve a hammerhead shark
Unprovoked,Snorkeling,M,Forearms lacerated,N,"White shark, 4 m white shark"
Unprovoked,Scuba diving,M,Groin bitten,N,"Wobbegong shark, 1m"
Invalid,Swimming,M,Foot lacerated,,"Shark involvement not confirmed, injury may be due to a stingray"
Unprovoked,Swimming,M,FATAL,Y,Bull shark
Unprovoked,Surfing,M,FATAL,Y,
Unprovoked,Scuba diving,M,Minor injury to right calf,N,Blacktip shark
Unprovoked,Body boarding,M,Both legs severely lacerated,N,3 m to 4.5 m [10' to 15'] white shark
Unprovoked,Swimming,F,Right shoulder forarm & wrist bitten,N,2.4 m to 3 m [8' to 10'] grey colored shark
Unprovoked,Snorkeling,F,"Right upper am, shoulder & back severely  bitten",N,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark 
Unprovoked,Surfing,M,1.5-inch laceration,N,6' shark
Unprovoked,Boogie boarding,M,Puncture wounds on right foot,N,3' to 4' shark
Unprovoked,"Fishing, standing in 2' of water",M,Shin bruised,N,
Unprovoked,Swimming,F,Left foot bitten ,N,A small shark
Unprovoked,Swimming,M,"FATAL, body not recovered",Y,Possibly a bull shark or tiger shark
Unprovoked,Surfing,M,Left foot bitten,N,
Unprovoked,Surfing,M,Abrasions on right hand & deep laceration on middle finger,N,Blacktip or spinner shark
Unprovoked,Surfing,M,Heel & back of right knee lacerated,N,3.5' to 4.5' shark
Unprovoked,Surfing,M,Left hand lacerated and abraded,N,3.5' to 4' shark
Unprovoked,Surfing,M,Right hand severely lacerated,N,4' to 5' shark
Unprovoked,Surfing,M,Left hand bitten,N,
Unprovoked,Fishing from Surfboard,M,"No injury, surfboard bitten ",N,1.2 m [4'] blacktip shark
Provoked,Fishing,M,Left thumb lacerated PROVOKED INCIDENT,N,1.8 m [6'] blacktip shark
Provoked,Swimming,M,Thigh lacerated  PROVOKED INCIDENT,N,"Tiger shark, 1.5 m [5']k"
Unprovoked,Boogie boarding or Surfing,M, Ankle lacerated,N,2.4 m [8'] shark
Unprovoked,Surfing,M,No injury,N,3 m to 3.7 m [10' to 12'] shark
Unprovoked,Swimming,M,"Left thigh bitten, leg surgically amputated",N,Bull or tiger shark
Unprovoked,Body boarding,,"No injury, shark fin seen just before board ripped away & dragged out to sea",N,
Unprovoked,Surf skiing,M,No injury,N,White shark
Unprovoked,Boogie boarding,M,Bitten above & below right knee,N,4' to 6' shark
Provoked,"Wading, when he stepped on the shark",M,2 small puncture wounds on left foot PROVOKED INCIDENT,N,1' to 2' hammerhead or bonnethed shark
Unprovoked,Surfing,M,Left foot lacerated ,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
Unprovoked,Swimming,F,Both arms & leg bitten,N,
Unprovoked,Surfing,M,Big toe bitten,N,0.9 m  to 1.2 m [3' to 4'] shark
Unprovoked,Surfing,M,Lacerations on heel & dorsum of right foot,N,"Nurse shark, 1.5 m [5'] "
Unprovoked,Standing,M,Ankle & leg lacerated,N,
Provoked,Diving,M,Hand bitten by captive shark PROVOKED INCIDENT,N,"Sandtiger shark, 3 m [10'] "
Unprovoked,Standing,M,Leg lacerated,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,Surfing,M,Heel bitten,N,1.2 m [4'] blacktip or sandbar shark
Unprovoked,Swimming,F,Calf bitten,N,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
Provoked,Surfing,M,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,N,
Provoked,Shark Fishing,M,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Y,"Mako shark, 400-lb "
Unprovoked,Surfing,M,Right hand severed,N,Bull or tiger shark
Unprovoked,Standing,F,"Calf, foot & hand bitten",N,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark"
Unprovoked,Surfing,M,minor injury to foot,N,
Unprovoked,Swimming,F,Small lacerations on right lower leg,N,
Unprovoked,,,"Arm severely lacerated, surgically amputated",N,
Unprovoked,Attempting to retreive a dinghy,,FATAL,Y,
Unprovoked,Sitting on surfboard,,"No injury, shark bit side of surfboard",N,"Tiger shark, 2.4 m to 2.7 m [8' to 9']  "
Unprovoked,Surfing,M,Right hand lacerated,N,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand
Unprovoked,Surfing,M,6-inch gash on right foot,N,  
Unprovoked,Swimming,M,Right calf lacerated,N,
Unprovoked,Snorkeling (filming the sardine run),M,Upper arm bitten,N,1.5 to 2.5 m [5' to 8.25'] copper shark
Unprovoked,Surfing,M,Lacerated leg & back,N,3.7 m to 4.3 m [12' to 14'] white shark
Unprovoked,Floating on a raft,M,Lacerated foot,N,1 m  shark
Provoked,"Fishing, removing the shark from his line",M,Leg bitten by hooked shark PROVOKED INCIDENT,N,3' blacktip shark
Unprovoked,Playing in the surf with his 2 dogs,M,"2-inch wound on dorsum of right foot, 1-inch wound on sole",N,
Unprovoked,Surfing,M,Toothmarks in board & his swim trunks,N,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
Unprovoked,Collecting beche-de-mer,M,Wrist lacerated,N,
Unprovoked,Fishing,M,Laceration to arm.,N,2.1 m to 2.4 m [7' to 8'] shark
Unprovoked,Surfing,M,Leg injured,N,
Provoked,Fishing from prawn trawler,M,Netted shark injured his am & 6 fingers PROVOKED INCIDENT,N,
Unprovoked,Scallop diving (using surface-supplied air & a POD) ,M,"FATAL, torso & leg bitten  ",Y,"White shark, 6m [20']"
Invalid,Fishing (Drowned 2-Apr-2002),M,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",,Invalid
Unprovoked,"Surfing, but standing in water alongside board",M,Left foot bitten,N,1.2 m [4'] shark
Unprovoked,Surfing,M,Left foot bitten,N,
Unprovoked,Swimming,M,Foot bitten,N,
Unprovoked,Standing,M,Calf bitten,N,"Bull shark, 400-lb "
Unprovoked,Wading,M,Two half-inch lacerations on right heel and one near small toe,N,3'  shark
Unprovoked,Swimming / Wading,M,Upper left arm bitten,N,0.9 m [3'] shark
Unprovoked,Body-boarding,M,Left leg severed below knee,N,Tiger shark
Unprovoked,Wading,F,Foot bitten,N,  
Unprovoked,Swimming,M,"Severe kacerations, FATAL",Y,
Unprovoked,Swimming /  boogie boarding,M,Punctures on left foot and foot ,N,4' shark
Unprovoked,Snorkeling,M,Arm bitten,N,"Nurse shark, 1m "
Unprovoked,Surfing,M,Several  puncture wounds on lower right leg,N,"Spinner shark, 3' to 4' "
Invalid,Spearfishing,M,"PRESUMED FATAL, body not recovered",,Shark involvement prior to death unconfired
Unprovoked,Capsized fishing boat,M,FATAL,Y,
Unprovoked,Surfing,M,Heel / foot bitten,N,"1.5 m [5'] ""whaler shark"""
Unprovoked,,M,"FATAL, lower thigh & knee severely lacerated ",Y,
Boating,Kayaking,M,Stern of kayak bitten/chest bruised ,N,C. leucas tooth fragment recovered from kayak
Unprovoked,Surfing,M,Bruises & minor cuts,N,"Tiger shark, 3 m [10']"
Unprovoked,Swimming,M,15 cm wound on inner thigh,N,
Unprovoked,Fishing,M,Leg bitten & surgically amputated,N,Zambesi shark?
Unprovoked,Swimming,,FATAL,Y,
Unprovoked,Surf skiing,M,Foot & calf bitten,N,Unidentified
Unprovoked,Snorkeling,M,Lacerations to buttocks & thigh,N,"Tiger shark, 1.8 m [6'] "
Invalid,Surfing,M,"No injury, 2 m to 2.5 m [6.75'  to 8.25'] shark made a threat display",N,
Unprovoked,Surfing,M,"No Injury, shark hit board",N,Bronze whaler shark
Unprovoked,Surfing,,"No injury, portion of board's lower surface removed",N,
Invalid,Surf-skiing,M,"No injury, fell off ski after possibly colliding with  a shark",,
Unprovoked,Kite-Boarding,M,No injury,N,"Mako shark, 2 m [6.75'] "
Unprovoked,Snorkeling,F,Lacerations to right forearm & shoulder injured,N,Bronze whaler shark?
Unprovoked,Body surfing,M,Hand injured,N,"Tiger shark, 1.8 m [6']"
Boat,,M,No injury from shark,N,4 m [13'] white shark
Provoked,"Surfing, fell off surfboard & stepped on the shark.",M,PROVOKED INCIDENT Several small lacerations on left foot ,N,4' shark
Unprovoked,Surfing,M,"1"" to 2"" cuts on right ankle & foot",N,
Invalid,Wreck / Technical diving,M,FATAL or drowning & scavenging,Y,Questionable incident - shark bite may have precipitated drowning
Unprovoked,Boogie boarding,M,"2 lacerations on lower back, punctures on buttock",N,2' to 3.5' shark
Unprovoked,Surfing,M,Foot bitten,N,
Provoked,Diving,M,Head bitten by captive shark PROVOKED INCIDENT,N,12' sandtiger shark
Provoked,Fishing,M,Fingers & leg lacerated  by hooked shark PROVOKED INCIDENT,N,
Unprovoked,Walking in shallows,M,Minor injury to left leg,N,
Invalid,Swimming,F,Left hand injured,N,Shark involvement not confirmed
Unprovoked,Swimming ,M,FATAL,Y,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
Unprovoked,Swimming,F,Left buttock & foot  severed,N,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
Unprovoked,Wading,M,Right calf lacerated,N,1.5 m [5'] shark
Unprovoked,Swimming ,M,"FATAL, thigh bitten ",Y,bull shark
Unprovoked,Spearfishing,M,Torso lacerated,N,3 m [10'] bull shark
Unprovoked,Standing,F,Punctures & lacerations on elbow & forearm,N,
Unprovoked,Wading,M,Heel lacerated,N,
Unprovoked,Boogie Boarding,M,Thigh & foot bitten,N,
Unprovoked,Boogie Boarding,M,Upper left thigh & right foot bitten,N,
Unprovoked,Surfing,M,Foot lacerated,N,a small shark
Unprovoked,Surfing,M,Thigh lacerated,N,
Unprovoked,Surfing,M,Cuts on right foot,N,
Unprovoked,Surfing,F,Lacerations to lower leg,N,
Unprovoked,Surfing,F,Left foot lacerated,N,
Unprovoked,Surfing,M,Cuts on right foot,N,Possibly  a blacktip or spinner shark
Unprovoked,Surfing,M,Back of left hand gashed,N,"3' shark, possibly  a blacktip or spinner shark"
Unprovoked,Surfing,M,Left ankle bitten,N,"Blacktip shark, 5' to 6' "
Unprovoked,Spearfishing,M,Calf bitten,N,1.9 m [6.5'] bull shark
Unprovoked,Fell off banana boat,M,Legs bitten,N,3 m [10'] shark
Unprovoked,,F,Toe bitten,N,
Unprovoked,Swimming,M,"Leg bitten, later surgically amputated above the knee",N,
Boating,Fishing,,No Injury to occupants,N,
Unprovoked,,F,Survived,N,
Unprovoked,,M,Minor injury,N,
Unprovoked,,F,2 bites behind knee,N,Nurse shark
Boating,Fishing,,No Injury to occupants; shark bumped the boat ,N,"Mako shark, 14' "
Unprovoked,Surfing,M,Left foot & heel lacerated,N,
Unprovoked,Boogie boarding,M,Foot lacerated,N,0.9 m  [3'] shark
Unprovoked,Surfing,M,Foot bitten,N,
Unprovoked,Swimming,M,"Arm severed, surgically reattached",N,"Bull shark, 2.3 m [7.5'] "
Unprovoked,,,Hand bitten,N,
Unprovoked,Floating face-down in knee-deep water,M,2-inch cut on dorsum of left foot,N,
Unprovoked,Swimming,M,Leg lacerated,N,1.5 m [5'] shark
Provoked,Spearfishing,M,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",N,"White shark, 2.4 m to 3 m [8' to 10'] "
Invalid,Hiking on the beach,M,Remains recovered from gut of a  3.7 m [12'] tiger shark,,Shark involvement prior to death was not confirmed
Unprovoked,Wading,F,3 puncture wounds on each side of her left  hand,N,2' shark
Unprovoked,,M,Survived,N,
Unprovoked,Swimming,M,Shin lacerated,N,1.2 m to 1.5 m [4.5' to 5'] shark
Unprovoked,Swimming,M,5.5-inch laceration on calf,N,
Provoked,Shark fishing,M,Arm bitten PROVOKED INCIDENT,N,
Invalid,,M,Fatal or drowned & remains scavenged by shark,,Shark involvement prior to death was not confirmed
Unprovoked,Surfing,M,Leg bitten,N,"White shark, 2.7 m to 3 m [9' to 10'] "
Unprovoked,Surfing,M,"Chest lacerated, surfboard bitten",N,
Unprovoked,Surfing,M,Foot lacerated ,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,"Spearfishing, carrying his catch",M,FATAL,Y,
Unprovoked,Boogie boarding,M,4 small lacerations on lower right leg,N,
Unprovoked,Surfing,M,Foot & ankle lacerated,N,
Unprovoked,Surfing,M,Right foot & ankle lacerated,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,,M,Right ankle & lower leg lacerated,N,
Unprovoked,Surfing,M,Foot & ankle lacerated,N,
Unprovoked,Surfing,M,Small cuts on big & pinky toes of left foot,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,Body boarding,M,Foot & ankle lacerated,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,Surfing,M,Foot lacerated,N,Possibly a 1.5 m [5'] blacktip or spinner shark
Unprovoked,Surfing,M,Minor cuts on right heel & foot,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,Surfing,M,Lacerations to top & bottom of left foot,N,
Unprovoked,Surfing,M,Minor punctures & lacerations on left hand ,N,"1 m shark, possibly whitetip reef shark"
Unprovoked,Surfing,,Foot lacerated,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,Surfing,M,"Thigh, hip & buttock bitten",N,"White shark, 2.7 m [9'] "
Provoked,Snorkeling,M,Wrist lacerated PROVOKED INCIDENT,N,Wobbegong shark
Unprovoked,Standing alongside surfboard,M,Minor lacerations to dorsum of left foot,N,"""small shark"""
Unprovoked,Batin,F,Left thigh bitten,N,
Unprovoked,Surfing,M,Calf bitten,N,Bronze whaler shark
Unprovoked,Body-boarding,M,"Minor cuts on left hand, body board bitten",N,
Unprovoked,Surfing,M,Fingers & hand lacerated,N,"Spinner shark, 1.2 m to 1.5 m [4' to 5'] "
Invalid,Attempting to catch a crocodile,M,Lacerations below the knee,,Shark involvement not confirmed
Unprovoked,Swimming,M,FATAL,Y,
Sea Disaster,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,,"Human remains recovered in shark caught off Anguilla, probable scavenging on drowned body",Y,"Tiger shark, 8' "
Boating,Fishing for whiting,,No injury to occupants,N,"White shark, 5 m [16.5'] "
Invalid,Unknown,F,Bones recovered by fishermen in 300-kg [662-lb] white sharks gut,,Shark involvement prior to death was not confirmed
Unprovoked,Surfing,M,Leg bitten,N,"Bronze whaler shark, 2.5 m [8.25']  k"
Boating,Kayaking,M,"No injury, shark rammed & bit kayak",N,5 m shark
Unprovoked,Swimming,F,Left arm bitten,N,2 m [6.75'] shark
Boating,Fishing,,No injury to occupants,N,"White shark, 4.3 m [14'] "
Unprovoked,Surfing,M,"Foot bruised, board dinged",N,"1.8 m to 2.4 m [6' to 8'] ""black finned shark"""
Boating,Kayaking,M,"No injury, kayak bitten",N,White shark
Unprovoked,Scuba diving,M,Hand bitten,N,
Unprovoked,Swimming back from anchored sailboat,M,"FATAL, leg severed ",Y,6 m [20'] shark
Boating,Fishing for whiting,,No injury to occupants,N,"White shark, 4.5 m [14'9""] "
Unprovoked,Diving for sea urchins,M,No injury,N,"Porbeagle shark, 3 m [10']rk"
Unprovoked,Spearfishing,M,Left elbow and forearm bitten,N,"Bronze whaler shark, 2.5 m [8.25'] "
Unprovoked,Surfing,F,FATAL,Y,
Unprovoked,Diving (shell maintenance),M,"No injury, wetsuit & swimfin torn",N,"Tiger shark, 4 m "
Invalid,Shipwrecked,M,"Missing, thought to have been taken by a shark",,Shark involvement not confirmed
Unprovoked,Swimming,M,Right calf lacerated,N,1.2 m to 1.8 m [4' to 6'] shark
Invalid,Walking,F,No injury,,Invalid
Unprovoked,Swimming,M,Leg & feet lacerated,N,"White shark, 4.9 m [16'] "
Unprovoked,Swimming,M,"FATAL, torso bitten, leg severed ",Y,"White shark, 5 m [16.5'] "
Unprovoked,Surfing,M,Both thighs bitten,N,"White shark, 2.4 m to 3 m [8' to 10'] "
Boat,Fishing ,,"No Injury to occupant, shark holed and sank boat",N,White shark
Unprovoked,Surfing,M,Leg lacerated,N,
Unprovoked,Swimming / snorkeling,F,Right side of back / torso lacerated,N,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
Unprovoked,Swimming,M,Right hand lacerated,N,
Unprovoked,Surfing,M,Foot lacerated,N,2.1 to 2.4 m [7' to 8'] shark
Unprovoked,Surfing,M,Fingers lacerated,N,"Blacktip shark, 2' "
Unprovoked,Body surfing,M,Right foot & heel lacerated,N,
Unprovoked,Surfing,M,Upper left arm lacerated,N,
