type,activity,sex_,injury,fatal_(y/n),species_,shark_specie,activity_group,severity_group,body_group
Unprovoked,Surfing,M,"Minor injury, grazed by shark",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Boating,Kayaking,M,"No injury, kayak bitten",N,White shark,White Shark,Kayaking,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Lower legs bitten,N,"Bull shark, 4' to 5'",Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Provoked,Fishing,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tiger shark, 100 kg",Tiger Shark,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,F,"No injury, shark bit surfboard",N,"White shark, 2.5 m",White Shark,Board sports,Minor or No injuries,Undetermined
Invalid,Fishing,,"Skull found in shark, a probable drowning & scavenging",,Shark involvement prior to death not confirmed,Unidentify,Fishing,Undetermined,Undetermined
Invalid,Fishing,M,"Arm injured by hook, not by a shark",,No shark invovlement ,Unidentify,Fishing,Undetermined,Upper extremities
Unprovoked,Swimming,F,Left foot bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,1 to 2-inch laceration behind knee,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,F,Leg bitten,N,"Bull shark, 4' to 5'",Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Body boarding,M,"No injury, shark bit surfboard ",N,"Bull shark, 2m",Bull Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,2-inch laceration to hand,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Injuries to hand and wrist,N,empty,Unidentify,Board sports,Undetermined,Upper extremities
Unprovoked,Feeding sharks,F,Fingernail pulled off ,N,empty,Unidentify,Feeding Sharks,Undetermined,Upper extremities
Unprovoked,Body boarding,M,"No injury, board bitten",N,"White shark, 4 m",White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,F,"No injury, knocked off board",N,Seven-gill shark,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Laceration to left foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing ,M,"Bruise to leg, cuts to hand sustained when he hit the shark",N,"3m shark, probably a smooth hound",Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Spearfishing,M,Laceration to shin,N,8' shark,Unidentify,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Snorkeling,F,Right forearm severed ,N,Tiger shark,Tiger Shark,Other,Amputations or Lacerations,Upper extremities
Provoked,Touching a shark,F,Right hand bitten by hooked shark PROVOKED INCIDENT,N,3' shark,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Feeding sharks,M,Lacerations to right arm,N,Tiger shark,Tiger Shark,Feeding Sharks,Amputations or Lacerations,Upper extremities
Invalid,Fishing ,M,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,empty,Unidentify,Fishing,Undetermined,Upper extremities
Unprovoked,Spearfishing,M,Right leg severely bitten,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Provoked,Attempting to lasso a shark,M,Thigh nipped PROVOKED INCIDENT,N,9' shark,Unidentify,Other,Undetermined,Lower extremities
Unprovoked,Snorkeling,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Invalid,Surfing,F,"Laceration to thigh, likely caused by surfboard fin",,Shark involvement highly doubtful,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,F,Major injury to posterior thigh,N,empty,Unidentify,Swimming,Undetermined,Lower extremities
